"","Code","CR_2011","CR_2012","CR_2013","CR_2014","CR_2015","VC_2012","VC_2013","VC_2014","VC_2015","MedPV","PCTMale","PCTFemale","PCTAg0_4","PCTAg5_17","PCTAg18_34","PCTAg35_64","PCTAg65Pls","PCTWhite","PCTBlack","PCTAsian","PCTHispLat","PCTothRace","PCTMCFamHH","PCTMaleHH","PCTFemalHH","PCTNoFamHH","PCT15Mried","PCT15Wid","PCT15Div","PCT15Septd","PCT15Nmary","PCT3PubSch","PCT3PvtSch","PCT25LT9th","PCT25NoHSD","PCT25HSgrad","PCT25SColl","PCT25Assoc","PCT25BSc","PCT25GrPls","PCT5SEngVW","PCT5SEgNVW","PCT5Eng","PCT5NonEng","PCT_BPL","PCT_APL","PCTHHFstmp","PCTHHNFStp","PCTILForce","PCT16Emp","PCT16Unemp","PCTioAgr","PCTioCnstr","PCTioManuf","PCTioWSTrd","PCTioRtl","PCTioTrans","PCTioInfo","PCTioFin","PCTioProf","PCTioEdu","PCTioArts","PCTioOthPA","PCTioPA","PCTioOmgt","PCTioOserv","PCTioOsale","PCTioOnres","PCTioOprod","PCTtLT10m","PCTt10_29m","PCTt30_59m","PCTt61mPls","PCTmtwCar","PCTmtwDaln","PCTmtwcpol","PCTmtwpubT","PCTmtwbus","PCTmtwEL","PCTmtwRail","PCTmtwtaxi","PCTmtwmcy","PCTmtwbike","PCTmtwwalk","PCTmtwothr","PCTmtwWFHm","PCTHUOcc","PCTHUOocc","PCTHURocc","PCTHUVcnt","PCTindCr","PCTnindCr","PCTvoted","PCTvoter"
"25","DO",24191,26382,27561,22865,19617,107064,117124,119373,105992,150589,45.88,54.12,7.97,24.87,27.18,32.53,7.46,2.61,91.47,0.24,4.73,0.95,14.06,7.34,46.64,31.96,14.56,6.68,8.01,3.95,66.77,92.99,7.01,6.15,18.51,33.58,25.53,5.97,6.93,3.3,97.79,2.21,94.54,5.46,44.8,55.2,56.94,43.06,47.5,48.11,24.65,0.12,3.22,6.38,0.87,8.58,10.7,1.55,4.9,9.98,32.17,10.99,4.61,5.91,21.92,30.39,26.68,4.31,16.71,6.86,31.21,43.99,17.95,54.47,48.38,6.09,31.61,24.44,5.23,0.93,0.05,0,0.56,3.41,4.22,5.66,75.79,15.43,60.36,24.21,27.36,72.64,44.43898444,0.642192184294956
"26","DU",60892,91703,82464,74067,64074,136061,147673,152336,138540,233982,48.12,51.88,6.05,13.93,23.09,41.99,14.94,67.26,1.67,4.07,26.3,0.7,49.52,6.32,12.68,31.48,49.98,7.62,8.8,1.52,32.07,71.79,28.21,6.27,7.89,32.85,21.48,8.51,15.83,7.16,78.27,21.73,47.37,52.63,11.71,88.29,7.14,92.86,66.34,67.08,21.84,0.15,8.93,11.54,2.56,11.49,6.34,1.99,6.05,12.35,19.23,8.3,4.66,6.4,26.8,21.92,26.81,11.4,13.06,3.15,30.02,49.77,17.06,87.13,77.78,9.35,9.46,6.14,2.05,1.27,0,0.14,0.27,1.67,0.61,0.73,92.9,68.87,24.03,7.1,37.55,62.45,45.57400047,0.50024561978058
"27","ED",129288,118511,111693,107462,103432,111025,103175,101986,96146,362871,48.9,51.1,7.5,16.73,16.98,42.5,16.29,72.07,0.68,10.81,14.12,2.32,58.17,3.5,7.87,30.46,57.97,7.1,7.15,0.92,26.89,58.07,41.93,4.29,3.72,20.42,16.7,6.43,29.43,19.04,88.36,11.64,65.61,34.39,6.26,93.74,6.4,93.6,67.48,67.56,21.89,0.29,5.42,6.47,2.58,11.21,5.07,2.22,7.52,13.35,22.87,6.86,8.26,7.88,44.6,19.32,20.99,6.97,8.12,5.04,40.3,42.84,11.82,79.41,71.1,8.31,12.96,3.36,5.27,4.33,0,0,0.44,2.14,0.6,4.46,93.38,71.31,22.07,6.62,40.88,59.12,55.93668654,0.719925039293918
"28","EG",76930,15798,125353,194415,186613,NA,125575,195906,190385,255921,49.82,50.18,4.81,7.16,34.75,40.75,12.54,55.82,13.05,11.33,16.35,3.44,25.38,3.44,6.25,64.93,31.27,4.93,10,1.87,51.93,43.79,56.21,5.6,4.06,14.13,17.15,4.84,30.58,23.63,86.75,13.25,66.03,33.97,17.49,82.51,11.11,88.89,69.02,69.93,20.75,0.1,1.33,4.86,1.77,9.29,3.86,2.79,8.93,15.47,26.97,14.54,6.6,3.5,50.71,19.59,21.2,2.11,6.39,5.92,28.44,50.58,15.06,41.82,34.84,6.99,41.53,16.42,22.1,2.56,0.37,0.23,1.87,7.35,0.79,6.04,88.4,33.27,55.13,11.6,43.21,56.79,57.78409091,0.497698458831477
"29","GA",33978,35028,29392,24471,22602,60462,55339,50849,46106,133300,50.92,49.08,8.32,24.29,27.68,33.1,6.61,3.33,12.12,0.84,83.6,0.12,48.9,12.39,18.81,19.9,40.79,4.22,6.1,2.33,46.58,94.49,5.51,32.79,14.62,30.05,11.74,4.76,4.55,1.52,60.79,39.21,20.34,79.66,26.16,73.84,33.56,66.44,66.07,66.24,22.31,0,7.1,22.55,4.21,9.79,5.22,0.88,3.26,12.48,10.97,16.48,5.58,1.49,9.46,28.57,18.62,12.18,31.18,2.34,30.71,49.93,17.01,74.71,53.02,21.69,21.08,13.03,7.34,0.33,0,0.11,0,2.3,0.18,1.62,86.83,43.97,42.86,13.17,38.37,61.63,37.06107814,0.394498097746561
"30","GG",29922,40445,34959,33138,27683,97102,70560,73434,48990,145177,43.73,56.27,7.27,19.54,22.95,38.79,11.44,1.15,94.4,0.62,2.49,1.35,14.53,5.37,30.96,49.13,17.71,8.24,13.02,4.83,56.22,83.41,16.59,3.64,12.5,27.09,29.19,6.95,12.43,8.2,98.7,1.3,95.52,4.48,36.78,63.22,42.3,57.7,59.68,60.03,23.85,0,2.05,4.82,1.86,7.99,9.12,3.51,5.7,10.95,34.18,8.4,5.31,6.1,33.15,27.14,25.37,3.3,11.05,4.75,33.46,40.75,21.03,57.46,50.69,6.77,32.37,23.85,5.75,2.77,0.17,0.2,0,4.57,0.56,4.67,76.89,20.16,56.73,23.11,36.93,63.07,48.94854378,0.535635964912281
"31","GM",9218,10319,12759,10848,11238,8465,8567,12699,20112,202320,49.62,50.38,7.69,19.41,24.11,38.57,10.22,26.51,13.02,3.97,54.08,2.42,44.28,7.38,15.68,32.66,42.22,6.37,7.99,2.87,40.55,82.63,17.37,11.5,12.31,27.92,21.28,6.66,12.73,7.54,76.87,23.13,38.61,61.39,15.56,84.44,17.37,82.63,67.41,67.61,21.83,0.7,8.1,13.96,2.43,13.19,7.02,1.01,5.34,10.08,19.74,8.55,5.14,4.74,24.76,16.39,29.4,10.87,18.58,3.89,27.41,53.1,15.6,79.44,68.43,11.01,13.08,9.33,1.57,2.18,0,0.05,0.58,2.64,1.8,2.41,91.26,57.35,33.91,8.74,48.78,51.22,43.74770978,0.726788508272579
"32","GR",84481,81344,75119,69786,65412,87976,89551,88472,78562,183686,48.86,51.14,6.06,16.26,21.29,42.18,14.21,56.47,0.18,0.21,42.35,0.8,52.12,6.9,11.3,29.68,48.6,7.65,8.36,1.42,33.96,60.52,39.48,8.15,7.4,33.62,20.2,8.27,14.65,7.71,86.53,13.47,60.84,39.16,5.46,94.54,7.66,92.34,67.2,67.33,21.95,0.16,6.62,9.59,2.87,8.61,8.09,1.46,7.15,10.72,18.51,7.8,5.23,13.2,28.58,21.83,25.31,9.55,14.72,7.01,36.15,41.55,15.3,85.68,75.98,9.7,11.05,3.81,6.47,0.77,0,0,0.1,2.09,0.15,0.93,95.51,78.31,17.2,4.49,36.42,63.58,56.23480551,0.60835002310892
"34","HA",33396,30459,26954,24974,20255,74350,70308,80641,67517,160950,43.14,56.86,8.09,19.51,23.21,36.12,13.07,2.88,92.59,0.33,2.49,1.71,13.45,4.55,31.34,50.66,18.1,8.38,12.32,5.11,56.1,82.25,17.75,4.52,13.07,25.08,27.81,5.55,13.18,10.82,98.71,1.29,96.25,3.75,36.43,63.57,39.95,60.05,60.25,61.77,23.03,0.11,2.1,5.25,1.64,9.34,5.91,2.26,8.74,14.11,29.8,7.26,4.55,8.93,35.51,24.29,27.48,3.33,9.39,5.41,36.38,39.72,18.49,60.03,52.81,7.22,32.96,19.42,11.99,0.95,0.45,0,0.1,3.35,0.3,2.8,79.16,19.28,59.89,20.84,39.91,60.09,54.87608626,0.617378221868968
"35","HE",41436,38680,36109,35545,31759,60533,57800,63226,58666,128000,49.29,50.71,7.27,18.83,20.37,37.68,15.86,32.95,16.4,0.13,49.92,0.6,39.65,8.27,20.11,31.97,40.08,7.37,9.25,0.98,42.3,83.08,16.92,10.87,9.27,33.71,23.84,6.49,10.94,4.88,89.51,10.49,66.87,33.13,23.71,76.29,18.07,81.93,57.37,57.47,24.4,0,6.16,14.87,2.02,10.81,8.59,2.47,3.51,6.09,24.37,5.55,5.28,10.27,19.94,25.08,23.44,10.44,21.11,9.12,35.81,40.37,14.71,77.93,67.97,9.96,17.52,9.96,0.61,6.56,0,0,0.13,2.77,0,1.66,88.45,58.91,29.53,11.55,35.61,64.39,43.62139918,0.618615751789976
