"","Code","CR_2011","CR_2012","CR_2013","CR_2014","CR_2015","VC_2012","VC_2013","VC_2014","VC_2015","MedPV","PCTMale","PCTFemale","PCTAg0_4","PCTAg5_17","PCTAg18_34","PCTAg35_64","PCTAg65Pls","PCTWhite","PCTBlack","PCTAsian","PCTHispLat","PCTothRace","PCTMCFamHH","PCTMaleHH","PCTFemalHH","PCTNoFamHH","PCT15Mried","PCT15Wid","PCT15Div","PCT15Septd","PCT15Nmary","PCT3PubSch","PCT3PvtSch","PCT25LT9th","PCT25NoHSD","PCT25HSgrad","PCT25SColl","PCT25Assoc","PCT25BSc","PCT25GrPls","PCT5SEngVW","PCT5SEgNVW","PCT5Eng","PCT5NonEng","PCT_BPL","PCT_APL","PCTHHFstmp","PCTHHNFStp","PCTILForce","PCT16Emp","PCT16Unemp","PCTioAgr","PCTioCnstr","PCTioManuf","PCTioWSTrd","PCTioRtl","PCTioTrans","PCTioInfo","PCTioFin","PCTioProf","PCTioEdu","PCTioArts","PCTioOthPA","PCTioPA","PCTioOmgt","PCTioOserv","PCTioOsale","PCTioOnres","PCTioOprod","PCTtLT10m","PCTt10_29m","PCTt30_59m","PCTt61mPls","PCTmtwCar","PCTmtwDaln","PCTmtwcpol","PCTmtwpubT","PCTmtwbus","PCTmtwEL","PCTmtwRail","PCTmtwtaxi","PCTmtwmcy","PCTmtwbike","PCTmtwwalk","PCTmtwothr","PCTmtwWFHm","PCTHUOcc","PCTHUOocc","PCTHURocc","PCTHUVcnt","PCTindCr","PCTnindCr","PCTvoted","PCTvoter"
"73","UP",109341,104178,94280,88574,87694,149748,148527,146465,139932,360653,51.03,48.97,5.32,5.98,44.71,35.11,8.88,65.64,13.25,7.11,10.34,3.66,21.65,1.85,4.43,72.07,28.7,3.95,7.94,1.89,57.53,44.32,55.68,2.89,3.4,10.96,13,3.88,40.55,25.33,91.19,8.81,76.3,23.7,17.76,82.24,10.15,89.85,79.84,80.66,15.44,0.2,1.1,5.43,1.85,8.13,4.22,2.93,11.47,24.73,20.81,11.61,4.91,2.6,56.52,13.86,23.21,1.17,5.23,3.01,29.18,55.37,12.44,36.98,33,3.97,47.37,24.21,21.77,1.12,0.59,0.08,2.53,4.04,0.86,7.56,90.01,32.56,57.45,9.99,44.37,55.63,53.1634507,0.812288665956771
"74","VO",72016,65363,62382,52719,51649,101439,93044,88817,85304,120625,48.76,51.24,8.2,22.2,22.49,36.24,10.87,21.39,2.96,0.15,75.24,0.27,50.47,6.2,19.03,24.31,45.86,6.07,8.04,1.84,38.16,85,15,17.26,10.82,34.84,18.88,5.17,8.71,4.32,76.45,23.55,36.73,63.27,21.69,78.31,18.17,81.83,62.86,63.19,23.14,0.12,7.26,15.7,3.58,8.82,5.67,1.54,4,8.18,21.46,11.95,6.46,5.26,19.3,25.33,21.04,11.43,22.9,9.35,38.4,37.11,15.14,82.49,68.04,14.45,12.69,8.1,0.68,3.84,0,0,0.26,3.03,0,1.52,87.35,59.85,27.49,12.65,29.22,70.78,35.3894081,0.376054358013121
"77","WA",47634,44724,38898,30576,26952,64253,61259,61004,58754,217555,46.36,53.64,6.19,17.77,19.12,41.24,15.69,38.15,56.99,0.23,2.68,1.96,41.17,4.89,20.88,33.06,38.28,7.85,12.06,2.26,39.53,59.22,40.78,2.25,5.62,21.74,24.69,9.35,20.53,15.82,99.3,0.7,96.97,3.03,15.19,84.81,14.71,85.29,61.61,63.12,22.72,0.14,4.84,4.43,1.99,6.32,6.12,1.65,6.39,9.92,33.43,7.11,3.94,13.74,40.81,21.35,23.79,7.21,6.85,6.8,33.23,43.64,16.33,76.09,70.93,5.16,17.35,5.35,1.86,9.88,0,0.19,0.38,2.09,0.64,3.25,89.32,67.05,22.27,10.68,39.93,60.07,62.98492022,0.722960533885629
"78","WB",123909,123819,108176,93990,85968,127718,110832,115403,116149,216491,49.71,50.29,7.65,17.09,26.04,38.98,10.24,36.81,3.74,3.27,54.84,1.34,46.23,10.57,16.44,26.75,44,5.9,8.36,2.74,38.98,82.84,17.16,12.71,12.03,32.86,18.8,7.25,11.02,5.37,68.15,31.85,30.69,69.31,14.61,85.39,14.04,85.96,69.81,69.92,21,0.45,9.04,14.73,2.64,12.12,6.96,2.41,4.65,11.28,17.33,8.84,5.95,3.58,20.7,23.28,24.64,11.82,19.56,3.15,26.12,54.08,16.65,81.95,68.91,13.04,11.54,8.89,1.39,1.26,0,0.13,0.52,2.99,1.49,1.38,90.65,57.47,33.19,9.35,40.8,59.2,38.94848447,0.581732426303855
"79","WC",22091,22987,25076,20629,17285,66244,167398,96703,79053,155708,47.75,52.25,8.43,21.29,23.83,34.47,11.98,1.41,82.81,0.22,14.84,0.72,23.49,8.78,40.59,27.14,22.8,7.06,8.34,3.91,57.89,90.91,9.09,9.13,20.1,36.27,21.21,5.32,5.4,2.54,94.6,5.4,86.66,13.34,35.18,64.82,43.78,56.22,51.79,52.6,24.54,0.09,2.51,11.24,2.49,10.54,11.8,2.18,3.64,10.86,27.88,8.03,3.92,4.84,20.71,27.45,24.52,3.67,23.65,5.8,31.55,42.02,20.63,64.13,55.23,8.9,27.94,23.61,3.68,0.28,0.78,0,0.23,2.64,2.27,2.02,84.09,33.39,50.7,15.91,30.34,69.66,43.40920735,0.63257558220288
"80","WE",94922,89173,79704,72153,67124,108275,99552,97240,87815,150700,49.87,50.13,6.97,22.29,26.74,35,8.99,22.51,2.3,0.83,74.08,0.27,52.88,9.42,16.02,21.68,45.77,5.79,6.81,2.05,39.58,83.55,16.45,19.6,11,33.54,18.77,6.29,8.25,2.54,69.9,30.1,27.43,72.57,16.48,83.52,16.77,83.23,66.07,66.27,22.29,0.31,8.27,14.54,4.72,10.22,7.99,1.63,5.66,11.16,14.09,11.66,5.93,3.83,17.7,22.33,21.54,11.64,26.8,5.59,32.45,45.78,16.18,82.68,70.02,12.66,13.02,6.08,5.99,0.63,0,0.02,0.28,2.66,0.21,1.13,92.61,67.17,25.44,7.39,46.86,53.14,49.04569837,0.420930110444052
"81","WP",40144,42265,35415,30407,27604,97058,87157,86807,84450,121775,45.78,54.22,5.32,20.42,21.53,37.5,15.22,3.1,89.84,0.17,5.78,1.12,28.9,7.8,31.3,32.01,27.93,9,12.68,3.4,46.98,84.58,15.42,4.46,10.77,33.18,28.3,6.57,10.15,6.57,97.88,2.12,94.08,5.92,28.2,71.8,28.95,71.05,56.57,57.17,24.23,0.04,3.05,6.54,2.31,9.25,12.31,3.9,7.31,8.87,29.37,5.51,4.08,7.47,25.87,24.68,27.13,6.57,15.75,5.06,32.03,38.91,24,71.6,65.14,6.46,20.34,12.18,2.73,4.9,0.06,0.09,0.32,2.63,0.81,4.14,84.56,56.13,28.43,15.44,35.4,64.6,49.04917684,0.7737374984566
"82","WR",42257,42802,38359,36329,31962,85520,75981,81744,72437,150300,47.84,52.16,6.24,18.63,23.77,40.86,10.5,6.6,72.13,0.87,19.27,1.14,41.41,7.08,25.55,25.97,36.27,5.85,9.86,2.17,45.83,82.81,17.19,5.96,6.95,30.13,28.48,7.8,14.29,6.37,92.72,7.28,81.46,18.54,14.4,85.6,19.61,80.39,64.12,64.43,22.81,0.09,2.58,7.72,2.15,10.48,12.28,1.67,5.15,10.68,24.15,7.88,5.55,9.63,24.67,26.6,25.46,5.36,17.91,2.56,32.56,46.8,18.08,79.19,69.7,9.5,16.97,11.14,4.05,1.71,0.34,0.09,0,1.19,0,2.21,93.15,70.47,22.68,6.85,39.16,60.84,54.64868701,0.505924596050269
"83","WT",122088,118488,106199,92772,82789,140847,141413,136774,132616,398267,50.46,49.54,6.45,6.96,48.53,32.35,5.71,62.24,9.2,4.75,21.2,2.62,29.48,2.95,8.02,59.55,33.3,2.87,6.91,0.99,55.94,60.13,39.87,6.42,3.61,9.76,9.68,3.31,41.73,25.51,88.31,11.69,73.96,26.04,14.45,85.55,8.54,91.46,82.4,82.88,14.11,0.13,3.24,6.5,3.06,7.82,2.95,3.66,10.91,23.01,20.72,11.62,3.53,2.86,58.54,12.61,21.41,2.78,4.65,7.15,47.47,34.9,10.48,46.39,40.85,5.54,32.31,14.26,16.47,1.49,0.94,0.26,4.35,8.09,0.76,6.88,91.85,35.19,56.66,8.15,59.34,40.66,45.46639884,0.514794187544219
"84","WW",23258,25714,22947,22214,20104,91701,145214,122965,133046,98678,46.07,53.93,7.96,20.46,25.42,35.58,10.58,1.52,82.97,0.62,13.69,1.2,23.14,7.08,38.5,31.28,21.87,7.88,9.69,2.99,57.58,91.02,8.98,7.81,16.89,36.81,24.81,4.87,6.49,2.33,93.71,6.29,86.56,13.44,39.27,60.73,41.38,58.62,56.37,57.04,24.22,0.04,5.04,10.42,1.98,10.09,10.13,1.14,3.8,11.28,25.52,8.71,6.86,4.99,15.21,32.16,23.82,7.97,20.84,3.78,26.61,46.99,22.63,62.77,52.61,10.16,29.61,22.83,6.48,0.29,0.17,0,0.33,3.11,0.41,3.61,77.81,32.94,44.88,22.19,33.13,66.87,41.94861589,0.515458148752623
"85","WY",37399,40079,36869,31993,27729,124491,107966,115750,100223,131679,43.67,56.33,5.78,17.48,20.97,40.93,14.83,0.74,96.84,0.21,1.01,1.21,17.53,6.53,30.93,45.01,20.58,9.22,13.53,4.53,52.14,83.56,16.44,3.27,9.7,27.84,27.3,8.78,15.03,8.07,98.73,1.27,96.44,3.56,29.2,70.8,31.77,68.23,58.79,59.22,23.98,0,1.29,6.95,1.7,8.78,10.99,1.71,6.79,10.66,31.91,7.62,4.39,7.21,28.08,27.61,26.86,3.22,14.23,3.97,30.39,39.58,26.07,61.29,54.33,6.95,31.3,22.18,7.21,1.62,0.29,0.14,0.08,2.22,0.27,4.43,79.13,30.84,48.28,20.87,40.82,59.18,54.02027705,0.696363350401063
"86","H0",966720,937649,821749,755189,694528,1699892,1529577,1406877,1293976,205775,48.54,51.46,6.79,15.74,29.76,36.9,10.82,32.95,30.64,5.68,29,1.73,32.97,5.41,16.97,44.64,35.26,5.52,8.69,2.53,48,74.02,25.98,9.33,9.08,23.51,18.11,5.47,20.72,13.79,83.87,16.13,63.64,36.36,21.94,78.06,18.99,81.01,66.28,45.18,21.11,0.16,4.03,9.25,2.38,9.14,5.99,2.36,8.14,15.15,22.64,11.2,5.25,4.31,37.74,20.51,23.1,5.58,13.07,5.43,36.5,42.85,15.22,59.67,50.76,8.92,26.52,13.62,10.79,1.91,0.53,0.07,1.4,6.55,0.89,4.35,86.54,39.37,47.17,13.46,37.66,62.34,49.09293181,0.485988034566807
"87","S1",619734,615032,556898,490667,454520,554642,538548,485942,436977,264600,49.66,50.34,6.7,13.69,32.92,36.69,10,44.31,16.77,7.36,29.49,2.07,33.74,4.69,12.35,49.22,37.17,4.63,7.91,2.09,48.2,70.19,29.81,8.8,7.82,20.11,15.41,4.87,25.86,17.14,82.16,17.84,59.8,40.2,19.42,80.58,14.42,85.58,69.5,49.7,19.81,0.17,3.78,8.95,2.36,9.06,5.06,2.57,9.16,17.16,21.63,11.57,5.24,3.3,43.01,18.3,22.74,4.78,11.17,5.48,37.56,43.19,13.77,55.36,47.24,8.13,28.3,13.02,13.29,1.77,0.71,0.09,1.78,7.67,1.08,5.01,88.19,38.1,50.09,11.81,39.98,60.02,48.4823884,0.463719889563599
"88","W1",125056,127502,106316,105925,91916,516044,411538,328740,331842,146950,46.76,53.24,6.93,19,24.71,37.23,12.12,14.79,52.79,3.01,28.22,1.19,31.55,6.75,25.57,36.13,32.06,7.01,9.98,3.28,47.66,79.08,20.92,10.24,11.27,29.45,22.83,6.53,11.74,7.94,86.61,13.39,69.77,30.23,25.97,74.03,27.5,72.5,60.85,37.55,23.3,0.15,4.56,9.89,2.43,9.32,7.99,1.9,5.94,10.82,46.41,11.53,4.83,2.44,3.02,12.24,11.73,11.08,3.39,5.33,34.25,42.11,18.32,69.08,58.44,10.65,22.63,14.92,5.32,2.21,0.13,0.04,0.56,4.13,0.5,2.92,83.63,41.6,42.03,16.37,41.96,58.04,49.95992472,0.521553295790625
